name,display_name,scientific_name,category,lookalike_group,toxicity_level,requires_cooking,edible_raw,hunger,morale,energy,description,region,identified,plant_guide_feature

jerky,Jerky,jerky,meat,undecided,0,False,True,5,2,3,"Few scraps of dried meat you have laying around",NoBiome,True,False
flint_and_steel,flintandsteel,fns,fire_starter,undecided,0,False,False,0,0,0,"stone and steel for starting fires",NoBiome,True,Fase
tinder,Tinder,Tindr,fire_starter,undecided,0,False,True,0,-3,0,"its tinder",NoBiome,True,False
pot,Pot,pott,cooking_item,undecided,0,False,False,0,0,0,"its a pot",NoBiome,True,False
golden_trumpet,Golden Trumpet,Craterellus tubaeformis,mushroom,golden_group,0,False,True,5,2,1,"Trumpet shape, wavy edges",Cool Damp Coast,False,True
false_golden_cap,False Golden Cap,Omphalotus olivascens,mushroom,golden_group,3,True,False,-10,-5,-5,"Bioluminescent, gills glow faintly",Cool Damp Coast,False,True
shore_pine_bolete,Shore Pine Bolete,Suillus tomentosus,mushroom,,0,True,False,6,1,2,"Sticky yellow cap, faint pores",Cool Damp Coast,False,True
salal_berry,Salal Berry,Gaultheria shallon,fruit,,0,False,True,3,3,1,"Sweet dark berries on evergreen shrub",Cool Damp Coast,False,True
deadly_nightberry,Deadly Nightberry,Solanum nigrum,fruit,nightshade_group,3,False,True,-20,-10,-10,"Black shiny berries, nightshade family",Cool Damp Coast,False,True
red_thimbleberry,Red Thimbleberry,Rubus parviflorus,fruit,,0,False,True,4,2,1,"Soft seedy berry with maple-like leaves",Cool Damp Coast,False,True
sea_lettuce,Sea Lettuce,Ulva lactuca,green,,0,False,True,2,1,0,"Flat green algae, edible raw",Cool Damp Coast,False,True
wood_sorrel,Wood Sorrel,Oxalis oregana,green,,0,False,True,2,2,1,"Clover-like leaves with tangy flavor",Cool Damp Coast,False,True
false_sorrel,False Sorrel,Rumex crispus,green,,1,True,False,-1,0,0,"Bitter-tasting leaves, needs cooking",Cool Damp Coast,False,True
candy_cap,Candy Cap,Lactarius rubidus,mushroom,,0,False,True,6,3,2,"Sweet-smelling, reddish-orange cap",Coastal Mountains,False,True
waxy_cap_mimic,Waxy Cap Mimic,Hygrocybe spp.,mushroom,,1,False,False,-5,0,0,"Glossy cap, fragile gills",Coastal Mountains,False,True
white_russula,White Russula,Russula brevipes,mushroom,,0,False,True,5,2,2,"Crumbling white flesh, thick stem",Coastal Mountains,False,True
red_huckleberry,Red Huckleberry,Vaccinium parvifolium,fruit,,0,False,True,3,3,1,"Tart bright red berries, thin branches",Coastal Mountains,False,True
salmonberry,Salmonberry,Rubus spectabilis,fruit,,0,False,True,3,2,1,"Orange-red, soft drupelets",Coastal Mountains,False,True
bitterberry,Bitterberry,Prunus emarginata,fruit,,1,True,False,-3,-1,-1,"Bitter taste, cherry-like shape",Coastal Mountains,False,True
fiddlehead_fern,Fiddlehead Fern,Matteuccia struthiopteris,green,,1,True,False,3,2,2,"Curled shoots, must be cooked",Coastal Mountains,False,True
miners_lettuce,Miner’s Lettuce,Claytonia perfoliata,green,,0,False,True,2,1,1,"Round leaf growing through the stem",Coastal Mountains,False,True
wild_rhubarb,Wild Rhubarb,Rumex spp.,green,,1,True,False,-2,0,0,"Large leaves, sour stem, cook required",Coastal Mountains,False,True
pacific_morel,Pacific Morel,Morchella elata,mushroom,morel_group,1,True,False,6,2,2,"Honeycombed cap, must be cooked",Temperate Rainforest Valley,False,True
false_morel,False Morel,Gyromitra esculenta,mushroom,morel_group,3,True,False,-15,-10,-10,"Wrinkled false cap, deadly twin",Temperate Rainforest Valley,False,True
shaggy_mane,Shaggy Mane,Coprinus comatus,mushroom,,0,False,True,5,2,1,"White shaggy cap, fragile when handled",Temperate Rainforest Valley,False,True
